 1.0 0.001
 0.999013 0.001
 0.996057 0.001
 0.991144 0.001
 0.984292 0.001
 0.975528 0.001
 0.964888 0.001
 0.952414 0.001
 0.938153 0.001
 0.922164 0.001
 0.904508 0.001
 0.885257 0.001
 0.864484 0.002795
 0.842274 0.008037
 0.818712 0.013517
 0.793893 0.019194
 0.767913 0.025025
 0.740877 0.030962
 0.71289 0.036959
 0.684062 0.042967
 0.654508 0.048933
 0.624345 0.054804
 0.593691 0.06053
 0.562667 0.066055
 0.531395 0.071328
 0.5 0.076295
 0.468605 0.080904
 0.437333 0.085107
 0.406309 0.088855
 0.375655 0.092102
 0.345492 0.094805
 0.315938 0.096926
 0.28711 0.098426
 0.259123 0.099275
 0.232087 0.099442
 0.206107 0.098903
 0.181288 0.097638
 0.157726 0.095628
 0.135516 0.092862
 0.114743 0.089328
 0.095492 0.085023
 0.077836 0.079941
 0.061847 0.074085
 0.047586 0.067455
 0.035112 0.060057
 0.024472 0.051898
 0.015708 0.042985
 0.008856 0.033328
 0.003943 0.022939
 0.000987 0.011827
 0.0 -0.011827
 0.000987 -0.022939
 0.003943 -0.033328
 0.008856 -0.042985
 0.015708 -0.051898
 0.024472 -0.060057
 0.035112 -0.067455
 0.047586 -0.074085
 0.061847 -0.079941
 0.077836 -0.085023
 0.095492 -0.089328
 0.114743 -0.092862
 0.135516 -0.095628
 0.157726 -0.097638
 0.181288 -0.098903
 0.206107 -0.099442
 0.232087 -0.099275
 0.259123 -0.098426
 0.28711 -0.096926
 0.315938 -0.094805
 0.345492 -0.092102
 0.375655 -0.088855
 0.406309 -0.085107
 0.437333 -0.080904
 0.468605 -0.076295
 0.5 -0.071328
 0.531395 -0.066055
 0.562667 -0.06053
 0.593691 -0.054804
 0.624345 -0.048933
 0.654508 -0.042967
 0.684062 -0.036959
 0.71289 -0.030962
 0.740877 -0.025025
 0.767913 -0.019194
 0.793893 -0.013517
 0.818712 -0.008037
 0.842274 -0.002795
 0.864484 -0.001
 0.885257 -0.001
 0.904508 -0.001
 0.922164 -0.001
 0.938153 -0.001
 0.952414 -0.001
 0.964888 -0.001
 0.975528 -0.001
 0.984292 -0.001
 0.991144 -0.001
 0.996057 -0.001
 0.999013 -0.001
